n,mean,sd,median,q1,q3,min,max,view,group,metric
12,101.06225,41.10268808091842,101.14500000000001,73.6705,122.67999999999999,28.113,180.286,chronological,Run 1,time_seconds
12,5.666666666666667,7.352591792055781,3.0,2.0,5.0,0.0,22.0,chronological,Run 1,false_grabs
12,65.56891666666667,31.016165044752604,58.092,45.04925,90.49799999999999,19.097,116.095,chronological,Run 2,time_seconds
12,3.0,2.1320071635561044,2.5,1.75,4.25,0.0,7.0,chronological,Run 2,false_grabs
12,67.53658333333333,34.4559384549399,56.5255,45.5435,90.588,25.201,128.124,chronological,Run 3,time_seconds
12,2.25,1.815338686155987,2.0,1.0,3.0,0.0,6.0,chronological,Run 3,false_grabs
12,72.42433333333334,34.7857994363252,81.156,47.762,95.89425,19.097,122.237,condition_objective,Guided,time_seconds
12,2.9166666666666665,1.880924981991251,2.5,1.75,3.5,1.0,7.0,condition_objective,Guided,false_grabs
12,78.56441666666667,38.52448544511147,66.40700000000001,54.3215,108.4455,25.201,150.596,condition_objective,Autonomous,time_seconds
12,2.6666666666666665,1.9694638556693238,2.0,1.75,4.25,0.0,6.0,condition_objective,Autonomous,false_grabs
12,83.179,44.1494098076479,69.95949999999999,52.056,111.1765,30.547,180.286,condition_objective,Stress,time_seconds
12,5.333333333333333,7.535773270731996,2.5,1.5,4.5,0.0,22.0,condition_objective,Stress,false_grabs
12,2.9,1.4758664635331402,3.0,1.55,3.8,1.0,6.0,condition_subjective,Guided,Workload
12,7.583333333333333,1.6213537179739277,8.0,6.0,8.25,5.0,10.0,condition_subjective,Guided,PerceivedPerformance
12,4.333333333333333,0.7945521577046603,4.583333333333334,4.083333333333334,4.875,2.3333333333333335,5.0,condition_subjective,Guided,LearningAutonomy
12,6.300000000000001,0.726135474462395,6.4,5.95,7.0,4.6,7.0,condition_subjective,Guided,PresenceRealism
12,0.4305555555555555,0.5749762108971493,0.3333333333333333,0.0,0.5,0.0,2.0,condition_subjective,Guided,ComfortSymptoms
12,4.016666666666667,0.8962886439832501,4.0,3.35,4.85,2.6,5.0,condition_subjective,Guided,GuidanceAdaptation
12,1.5,1.243163121016122,1.0,1.0,1.0,1.0,5.0,condition_subjective,Guided,StressRating
12,4.666666666666667,0.5860327153276884,5.0,4.583333333333334,5.0,3.0,5.0,condition_subjective,Guided,Acceptance
12,2.5833333333333335,1.7023157133383888,2.3,1.6,2.85,0.6,6.4,condition_subjective,Autonomous,Workload
12,7.083333333333333,2.2343733444579583,7.5,6.75,8.0,1.0,10.0,condition_subjective,Autonomous,PerceivedPerformance
12,4.902777777777778,0.1114263205702536,4.916666666666666,4.833333333333333,5.0,4.666666666666667,5.0,condition_subjective,Autonomous,LearningAutonomy
12,6.616666666666666,0.42175678759065377,6.699999999999999,6.300000000000001,7.0,6.0,7.0,condition_subjective,Autonomous,PresenceRealism
12,0.3333333333333333,0.26590801173915524,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,1.0,condition_subjective,Autonomous,ComfortSymptoms
12,4.683333333333334,0.35632807491088453,4.8,4.5,5.0,4.0,5.0,condition_subjective,Autonomous,GuidanceAdaptation
12,1.5,1.1677484162422844,1.0,1.0,1.25,1.0,5.0,condition_subjective,Autonomous,StressRating
12,4.888888888888889,0.2958751215328648,5.0,5.0,5.0,4.0,5.0,condition_subjective,Autonomous,Acceptance
12,2.0,1.9632996344280855,1.7,0.7000000000000001,2.45,0.0,7.4,condition_subjective,Stress,Workload
12,7.916666666666667,0.9962049198956219,8.0,7.75,8.0,6.0,10.0,condition_subjective,Stress,PerceivedPerformance
12,4.958333333333333,0.10359692675134347,5.0,5.0,5.0,4.666666666666667,5.0,condition_subjective,Stress,LearningAutonomy
12,6.6000000000000005,0.4972652484064489,6.9,6.2,7.0,5.6,7.0,condition_subjective,Stress,PresenceRealism
12,0.3888888888888889,0.3646870343138525,0.25,0.16666666666666666,0.41666666666666663,0.0,1.1666666666666667,condition_subjective,Stress,ComfortSymptoms
12,4.533333333333333,0.5348463387372172,4.8,4.15,5.0,3.6,5.0,condition_subjective,Stress,GuidanceAdaptation
12,1.5833333333333333,1.3789543689024493,1.0,1.0,1.0,1.0,5.0,condition_subjective,Stress,StressRating
12,5.0,0.0,5.0,5.0,5.0,5.0,5.0,condition_subjective,Stress,Acceptance
